datahora,Fechamento Atual
2008/01/02 11:00,20.06
2008/01/02 11:15,20,20
2008/01/02 11:30,20.03
2008/01/02 11:45,20,20
2008/01/02 12:00,19.96
2008/01/02 12:15,19.96
2008/01/02 12:30,20.1
2008/01/02 12:45,20.04
2008/01/02 13:00,19.82
2008/01/02 13:15,19.81
2008/01/02 13:30,19.88
2008/01/02 13:45,19.82
2008/01/02 14:00,19.77
2008/01/02 14:15,19.56
2008/01/02 14:30,19.41
2008/01/02 14:45,19.56
2008/01/02 15:00,19.51
2008/01/02 15:15,19.41
2008/01/02 15:30,19.5
2008/01/02 15:45,19.49
2008/01/02 16:00,19.46
2008/01/02 16:15,19.45
2008/01/02 16:30,19.45
2008/01/02 16:45,19.46
2008/01/02 17:00,19.3
2008/01/02 17:15,19.16
2008/01/02 17:30,19.07
2008/01/02 17:45,18.89
2008/01/02 18:00,19.03
2008/01/02 18:45,19.23
2008/01/02 19:00,19.26
2008/01/02 19:15,19.32
2008/01/03 11:00,19.24
2008/01/03 11:15,19.3
2008/01/03 11:30,19.43
2008/01/03 11:45,19.32
2008/01/03 12:00,19.26
2008/01/03 12:15,19.06
2008/01/03 12:30,18.96
2008/01/03 12:45,18.87
2008/01/03 13:00,18.86
2008/01/03 13:15,18.88
2008/01/03 13:30,18.81
2008/01/03 13:45,18.81
2008/01/03 14:00,18.8
2008/01/03 14:15,18.81
2008/01/03 14:30,18.81
2008/01/03 14:45,18.79
2008/01/03 15:00,18.76
2008/01/03 15:15,18.84
2008/01/03 15:30,18.84
2008/01/03 15:45,18.81
2008/01/03 16:00,18.76
2008/01/03 16:15,18.76
2008/01/03 16:30,18.73
2008/01/03 16:45,18.76
2008/01/03 17:00,18.76
2008/01/03 17:15,18.78
2008/01/03 17:30,18.71
2008/01/03 17:45,18.66
2008/01/03 18:00,18.69
2008/01/03 18:45,18.84
2008/01/03 19:00,18.81
2008/01/03 19:15,18.71
2008/01/04 11:00,19.06
2008/01/04 11:15,19.05
2008/01/04 11:30,18.74
2008/01/04 11:45,18.61
2008/01/04 12:00,18.41
2008/01/04 12:15,18.56
2008/01/04 12:30,18.52
2008/01/04 12:45,18.44
2008/01/04 13:00,18.5
2008/01/04 13:15,18.41
2008/01/04 13:30,18.41
2008/01/04 13:45,18.34
2008/01/04 14:00,18.35
2008/01/04 14:15,18.5
2008/01/04 14:30,18.46
2008/01/04 14:45,18.53
2008/01/04 15:00,18.53
2008/01/04 15:15,18.49
2008/01/04 15:30,18.5
2008/01/04 15:45,18.5
2008/01/04 16:00,18.56
2008/01/04 16:15,18.65
2008/01/04 16:30,18.56
2008/01/04 16:45,18.66
2008/01/04 17:00,18.61
2008/01/04 17:15,18.61
2008/01/04 17:30,18.68
2008/01/04 17:45,18.77
2008/01/04 18:00,18.81
2008/01/04 18:45,18.81
2008/01/04 19:00,18.81
2008/01/04 19:15,18.87
2008/01/07 11:00,18.96
2008/01/07 11:15,19.03
2008/01/07 11:30,19.05
2008/01/07 11:45,18.87
2008/01/07 12:00,18.92
2008/01/07 12:15,18.87
2008/01/07 12:30,18.89
2008/01/07 12:45,18.89
2008/01/07 13:00,18.77
2008/01/07 13:15,18.64
2008/01/07 13:30,18.61
2008/01/07 13:45,18.55
2008/01/07 14:00,18.81
2008/01/07 14:15,18.81
2008/01/07 14:30,18.96
2008/01/07 14:45,18.86
2008/01/07 15:00,18.89
2008/01/07 15:15,19.02
2008/01/07 15:30,18.96
2008/01/07 15:45,19.15
2008/01/07 16:00,19.1
2008/01/07 16:15,19.17
2008/01/07 16:30,18.96
2008/01/07 16:45,18.96
2008/01/07 17:00,18.86
2008/01/07 17:15,18.86
2008/01/07 17:30,18.86
2008/01/07 17:45,18.77
2008/01/07 18:00,18.81
2008/01/07 18:45,18.81
2008/01/07 19:00,18.84
2008/01/07 19:15,18.92
2008/01/08 11:00,19.12
2008/01/08 11:15,19.09
2008/01/08 11:30,19.16
2008/01/08 11:45,19.16
2008/01/08 12:00,19.12
2008/01/08 12:15,19.16
2008/01/08 12:30,19.15
2008/01/08 12:45,19.19
2008/01/08 13:00,19.37
2008/01/08 13:15,19.4
2008/01/08 13:30,19.34
2008/01/08 13:45,19.28
2008/01/08 14:00,19.07
2008/01/08 14:15,19.15
2008/01/08 14:30,19.03
2008/01/08 14:45,19.07
2008/01/08 15:00,19.02
2008/01/08 15:15,18.96
2008/01/08 15:30,18.89
2008/01/08 15:45,18.91
2008/01/08 16:00,19.03
2008/01/08 16:15,19.02
2008/01/08 16:30,18.96
2008/01/08 16:45,19.07
2008/01/08 17:00,19.12
2008/01/08 17:15,19.1
2008/01/08 17:30,19.02
2008/01/08 17:45,18.87
2008/01/08 18:00,18.99
2008/01/08 18:45,18.66
2008/01/08 19:00,18.66
2008/01/08 19:15,18.66
2008/01/09 11:00,18.81
2008/01/09 11:15,18.86
2008/01/09 11:30,18.78
2008/01/09 11:45,18.76
2008/01/09 12:00,18.74
2008/01/09 12:15,18.71
2008/01/09 12:30,18.79
2008/01/09 12:45,18.74
2008/01/09 13:00,18.82
2008/01/09 13:15,18.69
2008/01/09 13:30,18.7
2008/01/09 13:45,18.66
2008/01/09 14:00,18.56
2008/01/09 14:15,18.57
2008/01/09 14:30,18.61
2008/01/09 14:45,18.56
2008/01/09 15:00,18.55
2008/01/09 15:15,18.61
2008/01/09 15:30,18.52
2008/01/09 15:45,18.57
2008/01/09 16:00,18.52
2008/01/09 16:15,18.49
2008/01/09 16:30,18.5
2008/01/09 16:45,18.46
2008/01/09 17:00,18.43
2008/01/09 17:15,18.55
2008/01/09 17:30,18.65
2008/01/09 17:45,18.84
2008/01/09 18:00,18.99
2008/01/09 18:45,19.26
2008/01/09 19:00,19.2
2008/01/09 19:15,19.21
2008/01/10 11:00,18.96
2008/01/10 11:15,18.96
2008/01/10 11:30,18.96
2008/01/10 11:45,19.03
2008/01/10 12:00,19.03
2008/01/10 12:30,18.96
2008/01/10 12:45,19.15
2008/01/10 13:00,19.2
2008/01/10 13:15,19.26
