datahora,fechamento_atual
2014-08-29 10:00,23.09
2014-08-29 10:15,23.17
2014-08-29 10:30,22.98
2014-08-29 10:45,22.89
2014-08-29 11:00,22.79
2014-08-29 11:15,22.81
2014-08-29 11:30,22.88
2014-08-29 11:45,22.78
2014-08-29 12:00,22.75
2014-08-29 12:15,22.88
2014-08-29 12:30,22.98
2014-08-29 12:45,22.99
2014-08-29 13:00,23.03
2014-08-29 13:15,23.09
2014-08-29 13:30,23.06
2014-08-29 13:45,23.14
2014-08-29 14:00,23.07
2014-08-29 14:15,23.19
2014-08-29 14:30,23.26
2014-08-29 14:45,23.3
2014-08-29 15:00,23.42
2014-08-29 15:15,23.48
2014-08-29 15:30,23.39
2014-08-29 15:45,23.44
2014-08-29 16:00,23.46
2014-08-29 16:15,23.53
2014-08-29 16:30,23.49
2014-08-29 16:45,23.47
2014-08-29 17:00,23.35
2014-08-29 17:30,23.45
2014-08-29 17:45,23.36
2014-09-01 10:00,23.91
2014-09-01 10:15,24.32
2014-09-01 10:30,24.43
2014-09-01 10:45,24.43
2014-09-01 11:00,24.48
2014-09-01 11:15,24.4
2014-09-01 11:30,24.49
2014-09-01 11:45,24.35
2014-09-01 12:00,24.3
2014-09-01 12:15,24.35
2014-09-01 12:30,24.31
2014-09-01 12:45,24.3
2014-09-01 13:00,24.31
2014-09-01 13:15,24.34
2014-09-01 13:30,24.34
2014-09-01 13:45,24.35
2014-09-01 14:00,24.43
2014-09-01 14:15,24.38
2014-09-01 14:30,24.3
2014-09-01 14:45,24.23
2014-09-01 15:00,24.13
2014-09-01 15:15,24.14
2014-09-01 15:30,24.21
2014-09-01 15:45,24.24
2014-09-01 16:00,24.38
2014-09-01 16:15,24.06
2014-09-01 16:30,23.96
2014-09-01 16:45,23.9
2014-09-01 17:00,23.83
2014-09-01 17:30,23.71
2014-09-01 17:45,23.66
2014-09-02 10:00,23.8
2014-09-02 10:15,23.7
2014-09-02 10:30,23.57
2014-09-02 10:45,23.5
2014-09-02 11:00,23.56
2014-09-02 11:15,23.48
2014-09-02 11:30,23.58
2014-09-02 11:45,23.57
2014-09-02 12:00,23.58
2014-09-02 12:15,23.59
2014-09-02 12:30,23.92
2014-09-02 12:45,23.9
2014-09-02 13:00,24.04
2014-09-02 13:15,24.14
2014-09-02 13:30,23.95
2014-09-02 13:45,23.97
2014-09-02 14:00,24.1
2014-09-02 14:15,24.28
2014-09-02 14:30,24.17
2014-09-02 14:45,24.39
2014-09-02 15:00,24.68
2014-09-02 15:15,24.81
2014-09-02 15:30,24.72
2014-09-02 15:45,24.71
2014-09-02 16:00,24.46
2014-09-02 16:15,24.48
2014-09-02 16:30,24.51
2014-09-02 16:45,24.56
2014-09-02 17:00,24.56
2014-09-02 17:30,24.59
2014-09-02 17:45,24.63
2014-09-03 10:00,24.49
2014-09-03 10:15,24.67
2014-09-03 10:30,24.5
2014-09-03 10:45,24.56
2014-09-03 11:00,24.51
2014-09-03 11:15,24.48
2014-09-03 11:30,24.19
2014-09-03 11:45,24.2
2014-09-03 12:00,24.15
2014-09-03 12:15,23.98
2014-09-03 12:30,23.93
2014-09-03 12:45,24.02
2014-09-03 13:00,24.06
2014-09-03 13:15,23.9
2014-09-03 13:30,23.79
2014-09-03 13:45,23.64
2014-09-03 14:00,23.75
2014-09-03 14:15,23.91
2014-09-03 14:30,23.99
2014-09-03 14:45,23.87
2014-09-03 15:00,23.86
2014-09-03 15:15,23.93
2014-09-03 15:30,23.91
2014-09-03 15:45,23.96
2014-09-03 16:00,23.97
2014-09-03 16:15,24.03
2014-09-03 16:30,24.08
2014-09-03 16:45,23.99
2014-09-03 17:00,23.95
2014-09-03 17:30,24
2014-09-03 17:45,23.91
2014-09-04 10:00,23.3
2014-09-04 10:15,23.28
2014-09-04 10:30,23.5
2014-09-04 10:45,23.6
2014-09-04 11:00,23.66
2014-09-04 11:15,23.67
2014-09-04 11:30,23.75
2014-09-04 11:45,23.95
2014-09-04 12:00,23.68
2014-09-04 12:15,23.66
2014-09-04 12:30,23.5
2014-09-04 12:45,23.59
2014-09-04 13:00,23.48
2014-09-04 13:15,23.43
2014-09-04 13:30,23.47
2014-09-04 13:45,23.55
2014-09-04 14:00,23.62
2014-09-04 14:15,23.55
2014-09-04 14:30,23.28
2014-09-04 14:45,23.28
2014-09-04 15:00,23.1
2014-09-04 15:15,23.15
2014-09-04 15:30,23.19
2014-09-04 15:45,23.01
2014-09-04 16:00,23
2014-09-04 16:15,22.92
2014-09-04 16:30,22.92
2014-09-04 16:45,22.88
2014-09-04 17:00,22.79
2014-09-04 17:30,22.75
2014-09-04 17:45,22.72
2014-09-05 10:00,22.89
2014-09-05 10:15,23.08
2014-09-05 10:30,23.16
2014-09-05 10:45,23.02
2014-09-05 11:00,22.48
2014-09-05 11:15,22.69
2014-09-05 11:30,22.57
2014-09-05 11:45,22.67
2014-09-05 12:00,22.74
2014-09-05 12:15,22.65
2014-09-05 12:30,22.74
2014-09-05 12:45,22.78
2014-09-05 13:00,22.87
2014-09-05 13:15,22.79
2014-09-05 13:30,22.87
2014-09-05 13:45,22.87
2014-09-05 14:00,22.83
2014-09-05 14:15,22.91
2014-09-05 14:30,22.82
2014-09-05 14:45,22.72
2014-09-05 15:00,22.71
2014-09-05 15:15,22.79
2014-09-05 15:30,22.86
2014-09-05 15:45,22.81
2014-09-05 16:00,22.77
2014-09-05 16:15,22.81
2014-09-05 16:30,22.81
2014-09-05 16:45,22.79
2014-09-05 17:00,22.82
2014-09-05 17:30,22.82
2014-09-05 17:45,22.9
2014-09-08 10:15,23.54
2014-09-08 10:30,23.1
2014-09-08 10:45,22.51
2014-09-08 11:00,22.58
2014-09-08 11:15,22.41
2014-09-08 11:30,22.46
2014-09-08 11:45,22.81
2014-09-08 12:00,22.77
2014-09-08 12:15,22.78
2014-09-08 12:30,22.87
2014-09-08 12:45,22.68
2014-09-08 13:00,22.48
2014-09-08 13:15,22.54
2014-09-08 13:30,22.51
2014-09-08 13:45,22.26
2014-09-08 14:00,22.26
2014-09-08 14:15,22.15
2014-09-08 14:30,22.04
2014-09-08 14:45,22.02
2014-09-08 15:00,22.03
